benchmarkable_OGL_call,OGL_calls,frame_time_ms,call_type,prim_type,numElts,numPoints,numLiness,numTriangles,numQuads,FBO,comments,crop_busy(%)(%),gpu_idle(%)(%),shader_busy,zrop_busy(%)(%),gpu_busy,shaded_pixel_count
25,18,1.489926,glDrawElements ,GL_TRIANGLE_STRIP ,78151,0,0,78149,0,1,VBO: 0=1 2=1 IBO=24 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,37.148716,2.592174,862293,26.634888,977743,873560
26,18,1.493698,glDrawElements ,GL_TRIANGLE_STRIP ,5097,0,0,5095,0,1,VBO: 0=1 2=1 IBO=25 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,36.767677,2.397836,866267,27.753382,982943,880795
27,18,1.498987,glDrawElements ,GL_TRIANGLE_STRIP ,11882,0,0,11880,0,1,VBO: 0=1 2=1 IBO=26 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,37.038780,2.556921,873312,26.838013,984871,885406
28,18,1.640526,glDrawElements ,GL_TRIANGLE_STRIP ,346227,0,0,346225,0,1,VBO: 0=1 2=1 IBO=27 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.650063,2.559532,971193,26.092386,1085934,857445
29,18,1.639809,glDrawElements ,GL_TRIANGLE_STRIP ,5216,0,0,5214,0,1,VBO: 0=1 2=1 IBO=28 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,33.682652,2.643506,965213,25.541241,1086816,857470
30,18,1.660065,glDrawElements ,GL_TRIANGLE_STRIP ,21657,0,0,21655,0,1,VBO: 0=1 2=1 IBO=29 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.289864,2.605014,968275,26.584131,1097827,853372
31,18,1.661814,glDrawElements ,GL_TRIANGLE_STRIP ,23515,0,0,23513,0,1,VBO: 0=1 2=1 IBO=30 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.724037,2.537250,985445,26.050587,1104236,857381
32,18,1.668735,glDrawElements ,GL_TRIANGLE_STRIP ,10771,0,0,10769,0,1,VBO: 0=1 2=1 IBO=31 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.554825,2.618124,987189,26.457916,1107244,860083
33,18,1.673474,glDrawElements ,GL_TRIANGLE_STRIP ,9734,0,0,9732,0,1,VBO: 0=1 2=1 IBO=32 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,33.270470,2.480613,991229,26.288845,1112780,863708
34,18,1.699709,glDrawElements ,GL_TRIANGLE_STRIP ,54501,0,0,54499,0,1,VBO: 0=1 2=1 IBO=33 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.284420,2.521800,998869,26.708273,1130339,871107
35,18,1.715218,glDrawElements ,GL_TRIANGLE_STRIP ,22052,0,0,22050,0,1,VBO: 0=1 2=1 IBO=34 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.543983,2.606017,1013667,26.558270,1141856,872739
36,18,1.732725,glDrawElements ,GL_TRIANGLE_STRIP ,47673,0,0,47671,0,1,VBO: 0=1 2=1 IBO=35 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,31.886417,2.411074,1034718,27.036264,1156776,871787
37,18,1.746825,glDrawElements ,GL_TRIANGLE_STRIP ,28048,0,0,28046,0,1,VBO: 0=1 2=1 IBO=36 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,31.861292,2.523968,1043899,26.151867,1166682,872143
38,18,1.749074,glDrawElements ,GL_TRIANGLE_STRIP ,154,0,0,152,0,1,VBO: 0=1 2=1 IBO=37 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,31.459946,2.580011,1044508,26.749607,1167463,874837
39,18,1.749823,glDrawElements ,GL_TRIANGLE_STRIP ,9764,0,0,9762,0,1,VBO: 0=1 2=1 IBO=38 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.287773,2.356480,1049751,26.703487,1171456,881868
40,18,1.748866,glDrawElements ,GL_TRIANGLE_STRIP ,788,0,0,786,0,1,VBO: 0=1 2=1 IBO=39 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,31.899054,2.426969,1045903,27.134039,1172405,879734
41,18,1.773710,glDrawElements ,GL_TRIANGLE_STRIP ,22670,0,0,22668,0,1,VBO: 0=1 2=1 IBO=40 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.008976,2.444984,1055730,27.132813,1188150,899639
42,18,1.786253,glDrawElements ,GL_TRIANGLE_STRIP ,42270,0,0,42268,0,1,VBO: 0=1 2=1 IBO=41 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,31.621582,2.382968,1074859,27.786652,1201526,894680
43,18,1.792133,glDrawElements ,GL_TRIANGLE_STRIP ,10838,0,0,10836,0,1,VBO: 0=1 2=1 IBO=42 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.069969,2.324690,1076867,27.184057,1203475,895669
44,18,1.953369,glDrawElements ,GL_TRIANGLE_STRIP ,67638,0,0,67636,0,1,VBO: 0=1 2=1 IBO=43 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.967777,2.295759,1194961,30.290455,1321287,1002454
45,18,1.952236,glDrawElements ,GL_TRIANGLE_STRIP ,50,0,0,48,0,1,VBO: 0=1 2=1 IBO=44 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,33.576176,2.221089,1187779,29.401495,1322153,1000813
46,18,2.062617,glDrawElements ,GL_TRIANGLE_STRIP ,5893,0,0,5891,0,1,VBO: 0=1 2=1 IBO=45 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,35.303223,2.200012,1261975,30.343891,1402199,1124046
47,18,2.057961,glDrawElements ,GL_TRIANGLE_STRIP ,29198,0,0,29196,0,1,VBO: 0=1 2=1 IBO=46 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,35.611443,2.263881,1262230,28.827641,1397906,1119978
48,3,2.238020,glBlitFramebuffer , ,0,0,0,0,0,2,VBO: 0=1 2=1 IBO=46 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,37.128429,2.332066,1392027,16.852619,1530948,1685604
49,3,2.354197,glBlitFramebuffer , ,0,0,0,0,0,3,VBO: 0=1 2=1 IBO=46 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,37.593216,2.623015,1463807,14.477531,1611124,1834387
50,3,2.399122,glBlitFramebuffer , ,0,0,0,0,0,4,VBO: 0=1 2=1 IBO=46 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,36.191509,2.964418,1497717,14.514997,1641732,1875934
51,11,2.415572,glBegin/glEnd ,GL_QUADS ,4,0,0,0,1,5,VBO: 0=1 2=1 IBO=46 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=4 ,36.504940,2.703317,1509459,14.478434,1656436,1909155
52,10,2.442682,glBegin/glEnd ,GL_QUADS ,4,0,0,0,1,4,VBO: 0=1 2=1 IBO=46 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=7 ,36.283398,2.760290,1517491,14.105838,1678631,1951237
53,16,3.244580,glBegin/glEnd ,GL_QUADS ,4,0,0,0,1,0,VBO: 0=1 2=1 IBO=46 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=10 ,27.910313,1.980936,2113349,10.765974,2287286,2512574
54,5,3.452090,glBegin/glEnd ,GL_QUADS ,4,0,0,0,1,0,VBO: 0=1 2=1 IBO=46 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=10|shdVtx=1|shdFrag=2 ,26.613455,1.875533,2245162,9.662976,2439339,2652893
