Draw Call #, GPU Time (ns), Frame Buffer Bottleneck, Frame Buffer Utilized, Geometry Unit Bottleneck, Geometry Unit Utilized, Input Assembly Bottleneck, Input Assembly Utilized, Primitive Count, Raster Operations Bottleneck, Raster Operations Utilized, Shader Bottleneck, Shader Utilized, Texture Bottleneck, Texture Utilized, Shaded Pixel Count, Vertex Instruction %, Geometry Instruction %, Pixel Instruction %
839, 1929, 2.46%, 0.00%, 1.03%, 0.00%, 19.18%, 0.00%, 10, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
840, 1893, 3.50%, 0.00%, 4.18%, 3.01%, 18.03%, 3.09%, 41, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
841, 4866, 4.52%, 0.00%, 4.04%, 3.01%, 4.07%, 2.00%, 72, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
842, 5509, 5.16%, 0.00%, 4.07%, 2.03%, 3.02%, 2.00%, 72, 0.00%, 0.00%, 0.00%, 14.75%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
843, 4928, 3.39%, 1.02%, 4.01%, 2.00%, 4.04%, 2.04%, 72, 0.00%, 0.00%, 0.00%, 11.98%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
844, 4880, 4.60%, 0.00%, 4.12%, 3.03%, 4.00%, 2.04%, 72, 0.00%, 0.00%, 0.00%, 11.97%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
845, 4816, 3.44%, 1.04%, 4.09%, 3.00%, 4.03%, 2.07%, 72, 0.00%, 0.00%, 0.00%, 14.40%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
846, 4862, 4.58%, 0.00%, 4.09%, 3.04%, 4.09%, 2.01%, 72, 1.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
847, 4852, 4.50%, 1.01%, 4.00%, 3.03%, 4.03%, 2.02%, 72, 0.00%, 0.00%, 0.00%, 17.99%, 0.00%, 0.00%, 128, 0.00%, 0.00%, 100.00%
848, 4862, 3.44%, 0.00%, 4.01%, 3.02%, 4.00%, 2.02%, 72, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
849, 4928, 4.50%, 1.02%, 4.09%, 3.08%, 4.08%, 2.04%, 72, 0.00%, 0.00%, 0.00%, 13.14%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
850, 4730, 3.39%, 0.00%, 0.00%, 0.00%, 6.02%, 0.00%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
851, 4787, 3.42%, 0.00%, 0.00%, 0.00%, 7.00%, 0.00%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
852, 11563, 31.91%, 22.48%, 24.24%, 25.00%, 33.44%, 32.48%, 973, 24.92%, 17.06%, 13.76%, 60.45%, 9.57%, 9.62%, 18008, 19.94%, 0.00%, 80.06%
853, 6942, 9.06%, 4.05%, 34.32%, 32.36%, 32.23%, 32.48%, 1352, 1.00%, 1.01%, 0.00%, 31.38%, 0.00%, 0.00%, 168, 88.57%, 0.00%, 11.43%
854, 27882, 15.49%, 21.29%, 11.18%, 10.13%, 13.24%, 9.42%, 1468, 56.00%, 19.12%, 0.00%, 66.56%, 8.91%, 8.66%, 31608, 11.08%, 0.00%, 88.92%
855, 5155, 3.93%, 0.00%, 0.00%, 0.00%, 3.53%, 0.00%, 14, 0.00%, 0.00%, 0.00%, 18.21%, 0.00%, 0.00%, 16, 0.00%, 0.00%, 100.00%
856, 4614, 3.39%, 0.00%, 0.00%, 0.00%, 3.02%, 0.00%, 14, 0.00%, 0.00%, 0.00%, 3.19%, 0.00%, 0.00%, 56, 75.56%, 0.00%, 24.44%
857, 5315, 3.88%, 0.00%, 0.00%, 0.00%, 3.49%, 0.00%, 14, 0.00%, 0.00%, 0.00%, 3.70%, 0.00%, 0.00%, 16, 82.26%, 0.00%, 17.74%
858, 5361, 3.33%, 0.00%, 0.00%, 0.00%, 3.04%, 0.00%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
859, 4620, 2.21%, 0.00%, 0.00%, 0.00%, 3.01%, 0.00%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
860, 2035, 3.51%, 0.00%, 1.11%, 1.13%, 18.11%, 1.18%, 12, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
861, 4658, 3.33%, 0.00%, 0.00%, 0.00%, 3.00%, 0.00%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
862, 4620, 3.39%, 0.00%, 0.00%, 0.00%, 3.02%, 0.00%, 14, 0.00%, 0.00%, 0.00%, 11.95%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
863, 4589, 3.38%, 0.00%, 0.00%, 0.00%, 3.04%, 0.00%, 14, 0.00%, 0.00%, 0.00%, 13.93%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
864, 3955, 3.40%, 0.00%, 1.12%, 0.00%, 4.36%, 0.00%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
865, 5295, 7.98%, 4.06%, 45.32%, 39.00%, 41.37%, 40.56%, 1286, 0.00%, 0.00%, 1.09%, 27.92%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
866, 1944, 3.46%, 0.00%, 4.07%, 4.24%, 18.82%, 3.16%, 42, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
867, 4787, 5.65%, 0.00%, 1.02%, 1.02%, 3.08%, 1.00%, 31, 1.02%, 0.00%, 0.00%, 12.95%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
868, 9138, 11.42%, 10.06%, 43.16%, 28.13%, 50.00%, 24.21%, 1350, 2.01%, 3.07%, 3.24%, 49.58%, 0.00%, 0.00%, 392, 75.81%, 0.00%, 24.19%
869, 5565, 3.33%, 0.00%, 1.01%, 0.00%, 5.12%, 0.00%, 18, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
870, 16602, 15.58%, 15.09%, 61.24%, 39.00%, 76.76%, 33.23%, 3243, 2.01%, 3.01%, 2.15%, 71.95%, 0.00%, 0.00%, 360, 89.95%, 0.00%, 10.05%
871, 13049, 14.61%, 13.01%, 62.40%, 42.42%, 75.50%, 37.13%, 2950, 1.00%, 1.00%, 2.13%, 69.38%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
872, 5527, 2.25%, 0.00%, 0.00%, 0.00%, 5.00%, 0.00%, 16, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
873, 6630, 3.31%, 0.00%, 1.01%, 1.00%, 2.00%, 2.01%, 38, 0.00%, 0.00%, 0.00%, 10.76%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
874, 4088, 3.39%, 0.00%, 4.08%, 3.03%, 8.13%, 2.00%, 64, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
875, 1879, 1.12%, 0.00%, 1.00%, 1.00%, 8.02%, 1.03%, 12, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
876, 4200, 4.45%, 1.01%, 5.01%, 3.08%, 8.00%, 2.02%, 68, 0.00%, 0.00%, 0.00%, 15.08%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
877, 1993, 3.83%, 0.00%, 1.14%, 1.13%, 20.04%, 1.04%, 11, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
878, 6186, 4.50%, 1.00%, 7.10%, 6.05%, 6.00%, 5.05%, 162, 0.00%, 0.00%, 0.00%, 11.76%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
879, 1848, 4.57%, 0.00%, 3.05%, 2.00%, 17.42%, 2.04%, 32, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
880, 3712, 3.41%, 0.00%, 2.00%, 2.02%, 4.08%, 2.08%, 56, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
881, 4565, 3.38%, 0.00%, 2.00%, 2.02%, 3.03%, 2.04%, 38, 0.00%, 0.00%, 0.00%, 15.23%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
882, 11609, 13.43%, 9.07%, 51.60%, 33.25%, 63.52%, 28.01%, 2050, 2.02%, 0.00%, 2.15%, 61.08%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
883, 4302, 3.35%, 0.00%, 1.02%, 0.00%, 7.18%, 0.00%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
884, 4246, 3.43%, 0.00%, 2.01%, 1.00%, 7.09%, 1.01%, 40, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
885, 8413, 10.06%, 12.26%, 39.59%, 25.00%, 47.70%, 22.02%, 1131, 3.01%, 4.01%, 5.40%, 50.79%, 0.00%, 0.00%, 1104, 58.09%, 0.00%, 41.91%
886, 12281, 13.42%, 10.01%, 55.24%, 35.16%, 67.33%, 30.00%, 2288, 0.00%, 0.00%, 2.14%, 62.37%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
887, 7573, 9.14%, 6.14%, 33.76%, 21.10%, 40.04%, 18.00%, 837, 1.01%, 0.00%, 1.10%, 30.50%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
888, 5655, 4.51%, 1.00%, 5.00%, 3.03%, 6.06%, 2.02%, 96, 0.00%, 0.00%, 0.00%, 10.78%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
889, 6869, 7.96%, 5.11%, 27.66%, 18.00%, 33.66%, 16.44%, 690, 2.06%, 0.00%, 1.09%, 27.51%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
890, 5362, 4.47%, 1.00%, 5.02%, 3.02%, 5.00%, 3.02%, 96, 0.00%, 0.00%, 0.00%, 11.75%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
891, 5779, 4.58%, 3.00%, 11.26%, 7.10%, 13.23%, 6.33%, 210, 2.10%, 1.05%, 1.07%, 22.75%, 0.00%, 0.00%, 176, 31.58%, 0.00%, 68.42%
892, 4217, 5.82%, 4.14%, 15.54%, 10.17%, 15.00%, 8.22%, 210, 0.00%, 1.01%, 0.00%, 15.34%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
893, 5370, 5.14%, 6.00%, 14.86%, 9.22%, 14.98%, 8.16%, 210, 3.45%, 5.82%, 2.43%, 20.24%, 0.00%, 0.00%, 136, 40.00%, 0.00%, 60.00%
894, 13877, 6.81%, 4.07%, 16.38%, 11.17%, 17.27%, 22.00%, 824, 0.00%, 0.00%, 2.17%, 64.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
895, 7565, 6.73%, 4.09%, 20.00%, 20.52%, 23.03%, 22.48%, 928, 0.00%, 0.00%, 2.14%, 44.67%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
896, 5524, 5.63%, 3.04%, 15.06%, 10.19%, 19.00%, 21.65%, 322, 0.00%, 0.00%, 2.18%, 60.15%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
897, 8498, 4.48%, 2.06%, 8.04%, 5.05%, 10.00%, 11.24%, 254, 0.00%, 0.00%, 0.00%, 39.05%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
898, 9145, 3.46%, 0.00%, 0.00%, 0.00%, 3.03%, 1.00%, 40, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
899, 9959, 8.37%, 6.54%, 22.90%, 15.00%, 28.84%, 31.05%, 824, 0.00%, 0.00%, 3.45%, 63.79%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
900, 6091, 7.95%, 5.09%, 25.00%, 25.13%, 25.33%, 27.34%, 928, 0.00%, 0.00%, 2.16%, 52.86%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
901, 5434, 6.66%, 3.03%, 16.22%, 10.16%, 14.00%, 21.68%, 322, 0.00%, 0.00%, 2.12%, 56.84%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
902, 7214, 4.46%, 2.05%, 10.00%, 6.03%, 9.54%, 13.14%, 254, 0.00%, 0.00%, 0.00%, 47.79%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
903, 9117, 3.73%, 0.00%, 1.01%, 0.00%, 1.02%, 1.00%, 40, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
904, 5462, 4.50%, 0.00%, 4.00%, 2.04%, 6.07%, 2.03%, 66, 0.00%, 0.00%, 0.00%, 11.94%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
905, 3973, 3.37%, 1.00%, 4.13%, 2.05%, 8.21%, 2.04%, 54, 0.00%, 0.00%, 0.00%, 18.12%, 0.00%, 0.00%, 96, 76.92%, 0.00%, 23.08%
906, 4241, 6.24%, 2.06%, 12.00%, 9.04%, 15.43%, 9.35%, 222, 0.00%, 0.00%, 0.00%, 20.69%, 0.00%, 0.00%, 24, 65.93%, 0.00%, 34.07%
907, 4454, 7.15%, 4.07%, 23.00%, 15.91%, 27.40%, 12.61%, 326, 0.00%, 0.00%, 0.00%, 32.80%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
908, 4841, 3.54%, 0.00%, 0.00%, 0.00%, 3.00%, 0.00%, 8, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
909, 1867, 4.92%, 1.07%, 6.59%, 4.39%, 19.78%, 3.23%, 38, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
910, 5464, 2.53%, 0.00%, 1.13%, 1.12%, 6.83%, 0.00%, 22, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
911, 5336, 2.23%, 0.00%, 0.00%, 0.00%, 3.00%, 0.00%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
912, 3862, 2.35%, 0.00%, 0.00%, 0.00%, 3.00%, 0.00%, 13, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
913, 1911, 3.48%, 0.00%, 2.11%, 1.10%, 16.00%, 1.09%, 12, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
914, 4071, 3.44%, 0.00%, 0.00%, 0.00%, 5.00%, 0.00%, 18, 0.00%, 0.00%, 0.00%, 14.18%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
915, 1946, 3.44%, 0.00%, 6.30%, 6.21%, 17.59%, 6.11%, 74, 0.00%, 0.00%, 0.00%, 30.70%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
916, 1946, 3.49%, 0.00%, 6.25%, 5.12%, 17.19%, 5.19%, 67, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
917, 2016, 4.46%, 1.04%, 10.00%, 9.07%, 16.16%, 9.02%, 120, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
918, 2233, 5.73%, 2.03%, 19.57%, 17.61%, 19.00%, 17.29%, 236, 0.00%, 0.00%, 0.00%, 29.15%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
919, 14176, 3.57%, 0.00%, 3.21%, 3.21%, 4.26%, 3.03%, 249, 0.00%, 0.00%, 0.00%, 80.87%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
920, 6612, 3.44%, 0.00%, 0.00%, 0.00%, 5.11%, 0.00%, 13, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
921, 6150, 3.55%, 0.00%, 1.00%, 0.00%, 2.05%, 1.05%, 26, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
922, 6547, 3.37%, 0.00%, 0.00%, 0.00%, 3.01%, 0.00%, 13, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
923, 6633, 3.35%, 0.00%, 1.00%, 1.01%, 5.12%, 1.03%, 36, 0.00%, 0.00%, 0.00%, 37.74%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
924, 5769, 4.64%, 1.02%, 8.26%, 7.18%, 9.29%, 9.14%, 256, 0.00%, 0.00%, 1.12%, 64.79%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
925, 4346, 3.49%, 0.00%, 0.00%, 0.00%, 3.00%, 1.03%, 16, 0.00%, 0.00%, 0.00%, 56.75%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
926, 7808, 3.41%, 0.00%, 4.07%, 3.02%, 4.21%, 4.31%, 163, 0.00%, 0.00%, 0.00%, 48.65%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
927, 4941, 4.55%, 1.02%, 9.05%, 8.00%, 9.12%, 9.21%, 250, 0.00%, 0.00%, 0.00%, 50.98%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
928, 5251, 3.52%, 0.00%, 3.09%, 2.04%, 7.18%, 5.15%, 79, 0.00%, 0.00%, 1.13%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
929, 7950, 3.39%, 0.00%, 4.00%, 4.02%, 6.07%, 6.19%, 196, 0.00%, 0.00%, 0.00%, 64.38%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
930, 9040, 3.76%, 0.00%, 4.08%, 3.03%, 4.04%, 4.00%, 196, 0.00%, 0.00%, 0.00%, 56.68%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
931, 4666, 3.43%, 0.00%, 1.04%, 1.02%, 7.21%, 2.01%, 48, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
932, 5671, 3.61%, 0.00%, 1.07%, 1.05%, 2.02%, 1.02%, 44, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
933, 4678, 3.41%, 0.00%, 1.02%, 0.00%, 6.15%, 1.00%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
934, 5612, 4.49%, 1.02%, 8.15%, 7.22%, 7.00%, 9.52%, 256, 0.00%, 0.00%, 0.00%, 63.93%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
935, 4305, 3.32%, 0.00%, 1.01%, 0.00%, 3.08%, 1.01%, 16, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
936, 5258, 4.47%, 1.02%, 10.00%, 9.26%, 9.03%, 10.13%, 294, 0.00%, 0.00%, 0.00%, 51.91%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
937, 7679, 4.57%, 1.02%, 6.16%, 5.00%, 6.14%, 6.08%, 256, 0.00%, 0.00%, 0.00%, 46.86%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
938, 4307, 3.42%, 0.00%, 0.00%, 0.00%, 3.03%, 1.00%, 16, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
939, 13774, 3.35%, 0.00%, 3.00%, 3.03%, 4.01%, 4.23%, 245, 0.00%, 0.00%, 0.00%, 44.67%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
940, 5140, 4.51%, 1.00%, 10.07%, 9.06%, 10.17%, 10.00%, 297, 0.00%, 0.00%, 1.08%, 49.37%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
941, 6475, 3.60%, 1.08%, 5.35%, 4.25%, 6.45%, 5.01%, 176, 0.00%, 0.00%, 1.14%, 74.43%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
942, 6374, 3.34%, 0.00%, 0.00%, 0.00%, 4.16%, 0.00%, 25, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
943, 4439, 3.43%, 0.00%, 0.00%, 0.00%, 5.15%, 0.00%, 13, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
944, 14758, 16.99%, 47.41%, 60.97%, 37.45%, 88.00%, 31.22%, 2827, 1.01%, 2.01%, 2.16%, 70.98%, 0.00%, 0.00%, 1264, 86.00%, 0.00%, 14.00%
945, 5967, 10.10%, 28.08%, 29.13%, 18.17%, 47.32%, 14.00%, 535, 0.00%, 1.01%, 1.08%, 35.64%, 0.00%, 0.00%, 424, 82.41%, 0.00%, 17.59%
946, 5227, 5.65%, 12.13%, 14.05%, 9.15%, 21.18%, 7.04%, 244, 1.04%, 2.00%, 1.08%, 23.57%, 0.00%, 0.00%, 568, 65.19%, 0.00%, 34.81%
947, 58045, 29.51%, 71.15%, 80.62%, 49.00%, 93.75%, 42.71%, 14439, 9.10%, 10.15%, 7.58%, 92.12%, 0.00%, 0.00%, 61848, 61.72%, 0.00%, 38.28%
948, 8818, 21.58%, 51.55%, 49.53%, 31.45%, 68.00%, 27.29%, 1448, 6.14%, 10.21%, 7.60%, 58.70%, 0.00%, 0.00%, 8432, 47.65%, 0.00%, 52.35%
949, 8200, 32.61%, 52.27%, 45.98%, 31.81%, 46.92%, 22.40%, 1114, 13.09%, 13.00%, 16.54%, 59.36%, 0.00%, 0.00%, 11576, 39.75%, 0.00%, 60.25%
950, 5988, 10.00%, 20.99%, 26.69%, 15.41%, 25.51%, 11.89%, 386, 1.10%, 1.00%, 1.19%, 34.36%, 0.00%, 0.00%, 64, 89.66%, 0.00%, 10.34%
951, 5181, 5.61%, 7.00%, 5.15%, 3.06%, 10.15%, 2.04%, 88, 1.03%, 3.04%, 1.10%, 5.41%, 0.00%, 0.00%, 448, 46.15%, 0.00%, 53.85%
952, 5062, 4.56%, 3.01%, 4.05%, 2.02%, 6.06%, 2.03%, 60, 0.00%, 0.00%, 0.00%, 12.98%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
953, 5684, 6.90%, 16.42%, 20.59%, 13.00%, 32.79%, 11.29%, 392, 0.00%, 1.03%, 0.00%, 21.80%, 0.00%, 0.00%, 80, 89.50%, 0.00%, 10.50%
954, 1959, 3.43%, 0.00%, 1.08%, 0.00%, 16.00%, 0.00%, 6, 0.00%, 0.00%, 0.00%, 35.86%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
955, 4812, 4.69%, 0.00%, 0.00%, 0.00%, 2.03%, 0.00%, 6, 0.00%, 0.00%, 0.00%, 12.23%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
956, 5727, 4.54%, 3.00%, 2.01%, 2.01%, 5.10%, 2.02%, 48, 2.01%, 1.00%, 1.08%, 9.70%, 1.08%, 1.07%, 1264, 35.52%, 0.00%, 64.48%
957, 5857, 4.50%, 2.01%, 0.00%, 0.00%, 2.01%, 0.00%, 8, 2.03%, 2.00%, 1.06%, 10.82%, 1.11%, 1.09%, 1416, 0.00%, 0.00%, 100.00%
958, 6063, 3.46%, 1.04%, 0.00%, 0.00%, 5.11%, 0.00%, 8, 0.00%, 1.03%, 0.00%, 6.63%, 0.00%, 0.00%, 568, 0.00%, 0.00%, 100.00%
959, 4604, 3.32%, 1.00%, 1.01%, 1.03%, 3.02%, 1.03%, 26, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
960, 2042, 5.63%, 12.00%, 19.26%, 12.42%, 18.12%, 11.22%, 140, 0.00%, 0.00%, 0.00%, 32.76%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
961, 5519, 3.39%, 0.00%, 0.00%, 0.00%, 2.09%, 0.00%, 8, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
962, 1934, 4.73%, 3.17%, 5.17%, 3.24%, 27.00%, 2.14%, 28, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
963, 2024, 3.48%, 3.04%, 6.21%, 3.03%, 21.07%, 2.05%, 36, 0.00%, 0.00%, 0.00%, 32.29%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
964, 19129, 14.69%, 47.00%, 64.23%, 39.41%, 96.00%, 32.33%, 3752, 0.00%, 0.00%, 2.16%, 72.81%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
965, 2818, 10.18%, 29.14%, 40.52%, 25.23%, 52.00%, 22.34%, 374, 0.00%, 0.00%, 1.08%, 48.07%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
966, 60104, 17.93%, 63.33%, 84.32%, 52.26%, 98.43%, 43.00%, 15889, 0.00%, 0.00%, 3.20%, 89.64%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
967, 2658, 8.97%, 24.33%, 32.12%, 20.59%, 45.00%, 16.11%, 256, 0.00%, 0.00%, 1.07%, 38.13%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
968, 2094, 4.48%, 6.11%, 9.00%, 5.15%, 21.07%, 4.15%, 58, 0.00%, 0.00%, 0.00%, 31.59%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
969, 2089, 5.98%, 11.40%, 17.04%, 13.50%, 20.00%, 11.40%, 96, 0.00%, 0.00%, 1.14%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
970, 1733, 3.36%, 1.02%, 2.01%, 2.09%, 9.00%, 1.04%, 16, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
971, 14743, 45.65%, 64.36%, 46.65%, 30.85%, 71.37%, 23.80%, 2015, 26.28%, 27.00%, 20.46%, 66.12%, 0.00%, 0.00%, 40576, 24.43%, 0.00%, 75.57%
