Draw Call #, GPU Time (ns), Frame Buffer Bottleneck, Frame Buffer Utilized, Geometry Unit Bottleneck, Geometry Unit Utilized, Input Assembly Bottleneck, Input Assembly Utilized, Primitive Count, Raster Operations Bottleneck, Raster Operations Utilized, Shader Bottleneck, Shader Utilized, Texture Bottleneck, Texture Utilized, Shaded Pixel Count, Vertex Instruction %, Geometry Instruction %, Pixel Instruction %
186, 5625, 7.98%, 5.02%, 26.25%, 19.21%, 27.05%, 14.16%, 490, 2.00%, 0.00%, 3.21%, 35.69%, 0.00%, 0.00%, 1088, 73.38%, 0.00%, 26.62%
187, 2297, 3.38%, 1.02%, 7.02%, 5.05%, 15.00%, 4.09%, 58, 1.01%, 0.00%, 1.08%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
188, 11223, 15.69%, 14.01%, 72.23%, 55.00%, 88.15%, 43.19%, 2950, 3.02%, 0.00%, 7.51%, 88.20%, 0.00%, 0.00%, 800, 90.91%, 0.00%, 9.09%
189, 1846, 3.49%, 0.00%, 2.10%, 2.00%, 17.35%, 1.02%, 16, 0.00%, 0.00%, 0.00%, 34.55%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
190, 2325, 4.54%, 1.02%, 6.18%, 6.05%, 9.06%, 7.00%, 38, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
191, 3883, 3.36%, 1.03%, 7.00%, 5.12%, 9.01%, 4.06%, 103, 0.00%, 0.00%, 0.00%, 15.89%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
192, 2475, 4.68%, 2.08%, 13.54%, 10.35%, 15.37%, 6.15%, 96, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
193, 2437, 4.57%, 1.00%, 9.20%, 7.07%, 14.27%, 4.13%, 72, 1.01%, 0.00%, 1.08%, 26.79%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
194, 9073, 10.37%, 8.26%, 44.32%, 32.00%, 50.46%, 25.70%, 1350, 2.06%, 0.00%, 6.61%, 48.28%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
195, 6821, 7.84%, 5.23%, 29.22%, 21.44%, 33.00%, 17.73%, 690, 3.10%, 0.00%, 3.35%, 28.27%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
196, 5854, 3.39%, 1.01%, 4.01%, 3.03%, 3.00%, 2.03%, 72, 3.05%, 1.02%, 1.07%, 17.11%, 0.00%, 0.00%, 1152, 42.86%, 0.00%, 57.14%
197, 5557, 4.56%, 1.01%, 5.11%, 4.00%, 5.08%, 2.02%, 96, 0.00%, 0.00%, 0.00%, 9.71%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
198, 4142, 13.63%, 11.10%, 59.87%, 45.56%, 58.93%, 33.00%, 837, 0.00%, 0.00%, 2.16%, 58.74%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
199, 2102, 3.45%, 0.00%, 3.01%, 2.01%, 16.00%, 1.02%, 22, 0.00%, 0.00%, 0.00%, 27.07%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
200, 1915, 3.48%, 0.00%, 1.00%, 1.03%, 8.42%, 1.03%, 14, 0.00%, 0.00%, 0.00%, 33.82%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
201, 4830, 2.32%, 0.00%, 0.00%, 0.00%, 3.11%, 0.00%, 13, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
202, 2081, 2.25%, 0.00%, 2.04%, 2.02%, 16.39%, 1.01%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
203, 5725, 3.42%, 2.04%, 1.01%, 1.00%, 5.04%, 1.01%, 40, 2.02%, 2.00%, 1.07%, 7.51%, 0.00%, 0.00%, 696, 0.00%, 0.00%, 100.00%
204, 3500, 9.10%, 6.35%, 35.67%, 25.06%, 41.00%, 18.46%, 390, 0.00%, 0.00%, 1.12%, 41.03%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
205, 1831, 3.40%, 0.00%, 2.03%, 1.00%, 17.50%, 1.01%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
206, 2179, 2.34%, 0.00%, 2.09%, 1.03%, 14.49%, 1.00%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
207, 1919, 3.41%, 0.00%, 5.07%, 4.20%, 19.00%, 4.24%, 42, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
208, 1709, 3.45%, 0.00%, 5.02%, 4.13%, 9.03%, 3.00%, 31, 0.00%, 0.00%, 0.00%, 34.21%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
209, 1970, 2.33%, 0.00%, 2.08%, 2.03%, 8.35%, 1.03%, 14, 0.00%, 0.00%, 0.00%, 33.81%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
210, 5777, 3.39%, 1.01%, 4.05%, 3.02%, 3.06%, 2.02%, 72, 1.01%, 0.00%, 1.09%, 5.38%, 0.00%, 0.00%, 1024, 43.59%, 0.00%, 56.41%
211, 1949, 2.23%, 0.00%, 2.01%, 2.05%, 7.00%, 1.04%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
212, 5740, 3.43%, 1.00%, 4.05%, 3.06%, 3.05%, 2.03%, 72, 1.02%, 0.00%, 1.08%, 18.41%, 0.00%, 0.00%, 1024, 38.46%, 0.00%, 61.54%
213, 5723, 3.37%, 1.01%, 4.00%, 3.02%, 3.02%, 2.03%, 72, 1.01%, 0.00%, 1.08%, 6.37%, 0.00%, 0.00%, 1024, 0.00%, 0.00%, 100.00%
214, 2735, 3.49%, 1.01%, 10.24%, 11.23%, 13.20%, 10.00%, 182, 4.05%, 0.00%, 4.34%, 23.41%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
215, 2243, 4.59%, 2.08%, 10.27%, 8.30%, 9.24%, 5.20%, 72, 0.00%, 0.00%, 1.10%, 26.78%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
216, 1910, 3.48%, 0.00%, 2.06%, 2.00%, 8.31%, 1.00%, 14, 0.00%, 0.00%, 0.00%, 30.52%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
217, 5148, 5.61%, 2.03%, 64.12%, 22.20%, 22.49%, 22.24%, 690, 0.00%, 0.00%, 0.00%, 18.21%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
218, 2151, 4.57%, 2.06%, 11.39%, 8.03%, 10.41%, 5.10%, 72, 1.00%, 0.00%, 1.11%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
219, 2133, 4.48%, 2.01%, 11.00%, 8.20%, 9.08%, 5.11%, 72, 3.03%, 0.00%, 3.18%, 31.63%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
220, 2217, 2.42%, 0.00%, 1.09%, 0.00%, 16.42%, 0.00%, 10, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
221, 2315, 3.36%, 1.00%, 11.20%, 10.09%, 14.07%, 10.00%, 148, 1.00%, 0.00%, 1.08%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
222, 2354, 4.70%, 1.03%, 9.00%, 7.37%, 9.34%, 5.22%, 72, 3.16%, 0.00%, 3.35%, 30.08%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
223, 2334, 4.58%, 1.04%, 9.23%, 7.25%, 9.26%, 5.09%, 72, 2.00%, 0.00%, 2.19%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
224, 2220, 4.61%, 1.00%, 10.24%, 8.07%, 9.21%, 5.09%, 72, 2.01%, 0.00%, 2.18%, 29.17%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
225, 1941, 2.25%, 0.00%, 2.04%, 2.00%, 7.10%, 1.04%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
226, 9622, 25.51%, 23.00%, 29.01%, 16.13%, 16.04%, 16.29%, 943, 54.79%, 21.05%, 26.73%, 60.58%, 0.00%, 0.00%, 40368, 6.04%, 0.00%, 93.96%
227, 2223, 4.54%, 2.06%, 10.21%, 7.00%, 9.27%, 5.14%, 72, 1.00%, 0.00%, 1.09%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
228, 5650, 6.82%, 3.04%, 65.34%, 31.23%, 32.37%, 31.39%, 1083, 0.00%, 0.00%, 0.00%, 25.98%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
229, 4666, 2.27%, 0.00%, 0.00%, 0.00%, 3.08%, 0.00%, 14, 0.00%, 0.00%, 0.00%, 12.85%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
230, 1923, 2.30%, 0.00%, 2.08%, 2.04%, 8.23%, 1.01%, 14, 0.00%, 0.00%, 0.00%, 27.02%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
231, 4986, 3.38%, 1.02%, 5.03%, 5.04%, 6.08%, 5.01%, 172, 1.00%, 0.00%, 1.09%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
232, 1908, 3.34%, 0.00%, 2.01%, 2.06%, 8.00%, 1.04%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
233, 1913, 2.23%, 0.00%, 2.01%, 2.07%, 7.00%, 1.02%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
234, 2189, 3.66%, 0.00%, 1.05%, 1.08%, 14.88%, 0.00%, 12, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
235, 5021, 3.41%, 0.00%, 3.07%, 3.04%, 6.01%, 3.02%, 102, 1.01%, 0.00%, 1.07%, 12.85%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
236, 18390, 14.36%, 20.77%, 15.05%, 17.20%, 20.00%, 14.41%, 1468, 53.71%, 16.13%, 15.82%, 61.66%, 10.64%, 10.88%, 34688, 12.80%, 0.00%, 87.20%
